Month,Q0,Q1,Q2pt5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97pt5,Q99,Q100,STNAME,CTYNAME,POPESTIMATE2015
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,Allegany,72498
JUL,0.02,0.079999998,0.090000004,0.109999999,0.129999995,0.180000007,0.300000012,0.720000029,1.889999986,4.110000134,10.37625003,18.97899952,95.5,Alabama,Russell,58847
JUL,0.100000001,0.150000006,0.159999996,0.180000007,0.200000003,0.230000004,0.300000012,0.460000008,0.819999993,1.363000011,3.116499889,7.080800161,42.66999817,Georgia,Meriwether,21186
JUL,-0.039999999,0.029999999,0.039999999,0.050000001,0.07,0.119999997,0.209999993,0.469999999,0.920000017,1.5,2.934250063,8.313700151,203.5,Louisiana,Cameron Parish,6815
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Clarke,9227
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Teton,10671
JUL,0.029999999,0.090000004,0.100000001,0.119999997,0.129999995,0.170000002,0.25,0.439999998,0.839999974,1.669999957,4.340000153,13.41139988,443.9700012,Texas,Navarro,48170
JUL,0,0,0,0.059999999,0.140000001,0.310000002,0.620000005,1.289999962,3.460000038,8.18999958,14.84000015,29.49299974,70.69000244,Illinois,Williamson,67607
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Kandiyohi,42562
JUL,0.430000007,0.699999988,0.850000024,1.149999976,1.610000014,3.069999933,6.214999914,19.74749994,49.41500092,66.65000153,79.70625019,94.05799942,149.1399994,Louisiana,Lafayette Parish,239665
JUL,0.119999997,0.170000002,0.200000003,0.219999999,0.239999995,0.310000002,0.430000007,0.680000007,1.139999986,1.96900003,3.810749942,9.231800108,48.43999863,Georgia,Morgan,17951
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Elmore,25790
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah,Duchesne,20766
JUL,-0.07,0.050000001,0.100000001,0.140000001,0.200000003,0.319999993,0.5,0.910000026,1.720000029,3.460000038,7.498500001,17.81710051,54.18000031,Tennessee,Greene,68500
JUL,-0.090000004,0.01,0.050000001,0.090000004,0.140000001,0.219999999,0.379999995,0.720000029,1.517999983,2.710000038,5.186999989,9.196399841,56.09000015,North Carolina,McDowell,45049
JUL,-0.029999999,0.039999999,0.059999999,0.07,0.090000004,0.129999995,0.219999999,0.419999987,0.899999976,1.789999962,3.41625008,7.791000199,36.22999954,Alabama,Marion,30116
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Big Stone,4996
JUL,0.050000001,0.109999999,0.129999995,0.150000006,0.170000002,0.219999999,0.319999993,0.529999971,1.049999952,1.937000024,4.25,10.47459959,47.95999908,Georgia,Mitchell,22437
JUL,0.059999999,0.150000006,0.180000007,0.205499998,0.239999995,0.300000012,0.469999999,1.00999999,3.450000048,7.78000021,12.38000011,20.39830017,79.72000122,Mississippi,Hancock,46255
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Gallia,30083
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas,Cheyenne,2673
JUL,-0.25,-0.07,-0.039999999,-0.01,0,0,0,0.079999998,0.170000002,0.25999999,0.389999986,0.817999995,23.85000038,Colorado,Rio Grande,11338
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Clearfield,80651
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,Lincoln,18736
JUL,0.07,0.119999997,0.140000001,0.159999996,0.180000007,0.219999999,0.289999992,0.449999988,0.829999983,1.480000019,3.430000067,9.3547999,75.54000092,Texas,Grimes,27330
JUL,-0.029999999,0.01,0.02,0.029999999,0.050000001,0.07,0.100000001,0.150000006,0.239999995,0.349999994,0.579999983,1.421599965,13.39999962,Texas,Blanco,11038
JUL,0.029999999,0.079999998,0.100000001,0.109999999,0.129999995,0.200000003,0.330000013,0.629999995,1.389999986,2.519999981,5.144499969,12.61060007,67.05000305,Texas,Rusk,52930
